Feature,OLS_beta,OLS_HC3_SE,OLS_t,OLS_p,OLS_std_effect,mean_SHAP,mean_abs_SHAP,SHAP_CV,sign_concordance,nonlinearity
sin_month,0.024738,0.006149,4.023,0.0001,0.017533,-2.9e-05,0.014338,538.365,False,High
cos_month,-0.028367,0.007153,-3.966,0.0001,-0.020105,-0.000335,0.002772,10.608,True,High
GHI_anom,0.125378,0.018737,6.692,0.0,0.034612,-0.000275,0.014296,61.706,False,High
CLOUD_anom,0.001929,0.001404,1.374,0.1694,0.008911,-0.000523,0.006412,14.889,False,High
PRECTOT_anom,-0.00118,0.001259,-0.937,0.3487,-0.00328,-0.000356,0.008709,28.898,True,High
ONI,0.013743,0.017125,0.803,0.4223,0.009363,0.000266,0.002499,10.773,True,High
ONI_lag2,-0.011302,0.017948,-0.63,0.5289,-0.007511,-0.000385,0.004584,14.799,True,High
GHI_lag1,0.018568,0.012819,1.448,0.1475,0.007925,1e-04,0.005362,62.549,True,High
