Variable,Mean,Std,Min,Max
Y_stoch,0.51453,0.07556,0.31417,0.70015
PR_stoch,0.60892,0.04967,0.47493,0.72373
L_thermal,0.00378,0.00259,0.001,0.01351
L_cloud_resid,0.09211,0.01861,0.03776,0.14844
L_aerosol,0.02461,0.01639,0.005,0.09222
L_humidity,0.01796,0.00611,0.00191,0.03601
L_inverter,0.12179,0.06784,0.04,0.28
