Model,RMSE,MAE,MAPE_%,R2,SkillScore,JB_p,SW_p,LB1_p,LB12_p,ADF_p_resid,Resid_norm,Resid_AC1,Resid_AC12
OLS-HC3,0.065884,0.051999,10.8179,0.2387,0.1275,0.9305,0.8797,0.1066,0.0188,0.0,Normal,No AC,Seasonal AC
SARIMAX+ONI,0.077179,0.060232,12.7435,-0.0448,-0.0221,0.8267,0.9269,0.3524,0.5149,0.0,Normal,No AC,No SAC
XGBoost,0.068183,0.054029,11.2593,0.1846,0.097,0.7667,0.5602,0.3567,0.419,0.0,Normal,No AC,No SAC
Climatology_baseline,0.069339,0.056542,11.7013,0.1567,0.0817,0.4955,0.1217,0.3701,0.4097,0.0,Normal,No AC,No SAC
