sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH
0.010967779,-0.0051279245,-0.009050615,-0.023032265,0.016169427,0.003099179,0.016015029,0.0046875305,0.0027618783,-0.001920549,-0.008103867,0.0014154218
0.02148573,0.0011425536,0.0034260303,0.011455752,0.004552722,0.004082219,-0.00028040138,0.003510274,0.0039134743,0.00096973416,-0.0037004019,0.0072851265
0.02724536,0.0013933281,-0.0041723023,0.0023414732,-0.02018325,0.0011902002,0.011672358,0.0041771675,0.008483906,0.0020517234,-0.0057571004,0.0056174286
0.020542976,0.00022420379,-0.003187575,0.011120763,0.0033965532,-0.0065772464,-0.004371257,-0.003929615,-0.00029186442,0.018407043,0.0069589727,0.0013839572
0.015606332,0.0022169626,0.0058638537,-0.0051876777,0.0025310128,0.0027419769,-0.0042920313,-0.0028755036,-0.0044592135,0.013127855,-0.00717674,-0.0043396326
0.0018390629,0.0017508407,0.0030250067,0.008020802,-0.014516531,0.003060173,0.0012525194,-0.002886192,-0.003172958,0.0048202877,-0.0037503769,0.004135606
-0.017795296,0.0009044704,0.0036190958,0.0048391875,0.0017080992,-0.0033005131,-0.006979462,-0.004043741,-0.008256804,0.011932775,0.0044702636,-0.00015920965
-0.02306707,9.656306e-05,0.003797017,0.0037983903,0.0058715423,0.0114296535,0.021124369,-6.249813e-05,-0.005222877,0.014380591,-0.009024872,-0.0042031086
-0.012956095,0.002538072,0.004597681,0.00883841,-0.01978895,-0.0063918484,-0.008669679,0.0006248071,-0.0054668095,-0.026314579,0.009637909,-0.0062600295
-0.019132152,0.0019504663,-0.0113760345,-0.01705157,-0.017217413,0.0070127216,-0.010488245,-0.0018023951,-0.0058363504,-0.048771236,-0.011469316,0.003191069
-0.015207171,-0.0057562306,-0.006438759,-0.017501932,0.0058207926,0.004805482,0.00859041,-0.0014337121,-0.0046549607,-0.03592651,0.0035324127,0.0042777546
-0.012602257,-0.006716856,-0.009917267,-0.009502855,-0.015853098,-0.009861143,-0.0123456335,-0.0022622147,-0.0054872455,-0.04924948,0.0034704122,0.0011332796
0.012622748,-0.0016164187,-0.0030185522,0.0047846665,-0.018616898,-9.736851e-05,-0.006018504,0.0005515804,-0.0064931475,-0.04456643,0.0070532933,0.004203684
0.021058166,0.002597273,-0.008500198,0.025093447,0.012862915,0.01839767,0.012393569,0.0033821748,-0.0039135385,-0.040284824,0.007695056,-0.0018459441
0.02172306,0.0029187666,0.010180826,0.014926176,0.02521017,0.008809776,0.0093084425,0.006572596,0.0017510266,0.02789854,0.012087531,0.0027602187
0.01686966,4.960182e-05,-0.00046130564,-0.010950223,-0.015958078,0.0023264051,-0.01537401,0.0023261723,-0.0040531326,0.0009809148,0.006193824,0.0062837396
0.00846373,0.0025965727,0.003281822,0.006591133,0.02150423,0.008126011,0.000549825,0.0024936376,-0.0037140371,0.016532313,0.007416133,-0.0047655413
-0.0014437637,0.0013825402,-0.006136069,0.0059947595,-0.02225156,-0.007970214,0.014231139,0.0037263008,0.0018147774,-0.00044635992,-0.0029598174,0.0065179635
-0.014583678,0.0015766993,0.0073603983,0.00841581,-0.017813072,-0.012393061,-0.0003178118,0.00220901,0.0038177446,-0.018436909,-0.0063976753,0.00069668656
-0.021357013,0.00036696484,-0.0034184523,0.0034335717,-0.0019453464,-0.0023923193,0.009935687,0.0019820915,0.01041552,0.016314931,0.0013884514,0.001416229
-0.006379258,0.0038327114,0.004490653,-0.0063627767,0.025135268,0.0033703335,-0.00823052,0.0018639076,0.0124625275,0.018644847,0.01573937,-0.0019072535
-0.01921939,0.0005932278,0.0040242383,-0.012297534,-0.018811833,-0.007819611,-0.009551839,0.00064693065,0.0069082915,0.0024800247,-0.01579556,0.0029190565
-0.015159627,-0.006928695,-0.008018962,-0.014543234,-0.0017443905,-0.0020946353,-0.0009263557,-0.00042212725,0.0067554126,-0.0033687628,0.003993474,0.0036109588
-0.010489409,-0.008820506,-0.00947775,-0.008957191,0.013609396,0.00077110605,-0.0089194495,-0.000841291,0.0057361955,-0.057003472,0.013066351,-0.0046803732
0.008163658,-0.0031917293,-0.006518972,-0.01606664,0.019485462,0.0032408964,0.0063159196,-0.00032810512,0.002721408,0.0038574713,0.011106577,0.0052185995
0.014868783,-0.00011209679,0.0005080808,-0.0053505707,-0.026725367,-0.0021643965,0.008471394,-0.00037892544,-0.0017959725,0.019995114,-0.0045566293,-0.008413982
0.022040868,0.0012275714,0.0017602614,0.020136306,-0.020569894,-0.003629746,-0.007048848,0.0012729589,-0.0026859653,-0.00070182444,-0.01146618,0.0016774299
0.02100425,0.00024607067,0.0069251913,0.0053103175,-0.024044609,-0.010056394,-0.0101377545,0.00072762225,0.002357842,0.015486554,-0.0032028044,0.008201575
0.014043864,0.0009415919,0.0017596729,0.018346941,0.005977496,0.004253652,-0.0076226685,0.0014237193,0.0066344347,0.014963767,0.007951287,0.0031836757
-0.0024415632,0.0011494105,0.0029921078,-0.0058374912,-0.02551118,-0.0020126833,0.007964227,0.0018840963,0.004549709,0.003250592,-0.011875253,-0.006014475
-0.010385218,0.0032797917,0.009157116,-0.011480105,-0.015034267,0.011514629,0.0036209293,0.0021057334,0.0077362387,-0.027545532,0.01585805,0.0022609357
-0.018894972,0.00021891463,0.0029099064,0.0043216874,-0.0026277262,0.0032255072,-0.01135586,0.0022998468,0.010528107,0.002734762,0.009422656,0.0004823802
-0.018175488,0.0028582045,0.0019742209,0.009156601,-0.0017492281,-0.012079101,-0.012977548,0.0024305526,0.012747644,0.020853339,-0.00717268,-0.0040142853
-0.01529023,0.0015006885,0.00722144,-0.0077510495,0.0051710014,0.010200653,-0.009333909,0.0031562252,0.012513099,0.018653011,0.016042732,0.0042611025
-0.0112655135,-0.0039666267,0.008110907,-0.011166868,-0.015338528,-0.0052134343,0.017952465,0.0033973353,0.0069110366,-0.025659274,0.0036789845,0.0008948091
-0.013494073,-0.008492818,-0.011932046,-0.016252061,-0.0068059615,-0.003008842,0.015319901,-0.0024638306,-0.0019740965,-0.053940833,0.002679671,0.0046597086
0.0084172,-0.0034315768,-0.004325205,0.0048308675,-0.021903645,-0.013246388,-0.012016321,-0.0024777534,-0.007138986,-0.0493607,0.0043890565,-0.01409224
0.022080626,0.0012328164,-0.004553483,0.008196281,0.0019260483,-0.0014274955,0.022208408,0.00084136764,-0.005363181,0.019356623,0.0074953977,0.004393498
0.020566965,0.0019158608,0.008735003,-0.017027063,-0.0032393106,-0.0049458276,-0.013647436,-0.0037725,-0.006026461,0.02142897,0.01537697,0.001250671
0.017813781,0.00028620567,-0.010019857,0.009038877,0.012839228,0.006646065,-0.010238102,0.0020412635,-0.007258813,0.01489606,-0.00833186,-0.00058369135
0.015455649,0.003083107,-0.0042099073,0.010184592,0.008123763,0.0059816185,0.0021442,0.0019829094,-0.002785943,0.018763904,-0.004243169,0.006619805
0.0046874164,0.003348886,0.008409904,-0.020253772,0.0068681324,0.011481659,0.0022783913,0.0028404037,0.0049013966,0.003179256,-0.0096914815,-2.2664506e-05
-0.017681658,0.0019589644,0.0025980766,0.0066147177,-0.0008561124,0.0064517246,-0.004767824,0.0024476545,0.0019897798,0.012814915,-0.008335298,0.0013967601
-0.01812922,0.00019389552,0.0025150715,0.0027351275,-0.023052223,-0.004689347,0.015580296,-0.002374724,-0.0012304548,0.001085297,0.0029852977,0.0044440976
-0.010750093,0.0031896306,4.3211694e-05,0.00822585,0.016280958,0.0077066603,-0.0018598362,0.003814227,0.00016766714,0.018017627,-0.006534425,0.00013586791
-0.015606178,-0.0010045745,0.0028361636,-0.002473748,0.021647407,-0.008180802,0.019630061,-0.0018231543,-0.0034284876,0.02113412,0.00995571,0.0040187775
-0.011259365,-0.0033979968,0.0071897614,-0.0018022982,-0.012842814,0.0009242755,0.021066764,0.0021671047,0.0056554484,-0.017852668,0.005183203,0.0045693074
-0.010616367,-0.009497163,-0.0117254695,-0.015097073,0.011175819,0.00890948,-0.0016076899,0.0016903353,0.00539997,-0.0459773,-0.006161649,0.0029359185
0.015987707,-0.0048935185,-0.006498969,-0.017536446,0.0023400437,0.00917881,0.019090135,0.0036753272,0.007473622,-0.024714917,-0.0054658055,0.0031052097
0.020443657,0.001134657,0.009006166,0.0052735065,0.01879436,0.012328174,0.0064122095,0.0055803596,0.0062772203,0.0038255164,-0.003401022,0.0014965009
0.02792891,0.0030518605,-0.0054909796,0.018327331,0.010347086,0.005614915,0.024520066,-0.002510609,0.004523681,0.013525395,-0.0003983241,0.0041317884
0.021077659,9.625421e-05,-0.0023377968,0.016877422,-0.01939736,0.003133713,0.003412542,0.0016980936,0.0010911466,0.012269118,0.003519589,-0.0021985536
0.013404348,0.0010892267,0.0018302699,-0.0008067747,0.0028651701,0.00010652806,0.002284212,0.0021759009,-0.006218384,0.014693922,0.00455948,-0.0047886376
-0.0016687072,0.001225885,0.0026376024,-0.0060839206,-0.028881658,-0.0011975273,-0.0139405755,-0.0028605976,-0.006053104,0.005144163,-0.0064938627,-0.0074906116
-0.01545631,0.0015545932,0.0072518024,0.0039004139,-0.02530626,-0.011097698,-0.0048997346,-0.0028597084,0.0058413846,0.010606154,-0.014438399,-0.005542241
-0.007946809,0.0017637284,0.005112196,-0.008261462,0.032140512,0.005032346,-0.003590465,-0.0023815962,0.00055388384,0.02548608,0.016732713,-0.00072606764
-0.019736761,0.0016586226,-0.0127943205,0.0063850917,-0.0020790119,-0.0065389303,0.0075322487,-0.0043151467,-0.007923928,0.0165499,-0.007587482,-0.00096272764
-0.01270536,-0.0034693992,0.0020667478,0.0017887915,0.02617808,0.006927017,-0.005810524,-0.0021461365,-0.0033914186,0.023731668,0.009403605,-0.002054074
-0.013881324,-0.007030744,0.006635596,-0.017358737,-0.004252236,-0.008570494,-0.009881675,-0.0021560856,-0.0023607952,0.0038871896,-0.011822943,0.0008628928
-0.01325554,-0.008529962,-0.007957396,-0.022771517,-0.001207522,-0.007048821,-0.007683342,-0.0035450887,-0.003522124,-0.04206811,-0.009735175,-0.0033891932
0.011114945,-0.004696581,0.00045847136,-0.0005913493,-0.017616265,-0.005539937,-0.007827921,-0.003237543,-0.0033130161,-0.03457745,-0.0032219486,-0.005036164
