ENSO_phase,n_months,top1_feature,top2_feature,top3_feature,ONI_SHAP_mean,CLOUD_SHAP_mean
ElNino,34,GHI_x_CLOUD,sin_month,GHI_anom,0.00085,0.002864
Neutral,142,GHI_x_CLOUD,sin_month,GHI_anom,0.000761,-0.000484
LaNina,40,GHI_x_CLOUD,GHI_anom,sin_month,-0.001988,-0.00354
